,,Fibonacci Number,Itterative,Recrusive,Dynamic
C,0,f_0,8.6e-08,4.1e-08,4.2e-08
C,1,f_1,1.02e-07,5.3e-08,4.1e-08
C,2,f_2,1.03e-07,1.07e-07,7.869e-06
C,3,f_3,1.09e-07,1.31e-07,6.71e-06
C,4,f_4,1.06e-07,1.76e-07,7.117e-06
C,5,f_5,1.1e-07,2.1e-07,6.842e-06
C,6,f_6,1.1e-07,2.92e-07,6.689e-06
C,7,f_7,1.13e-07,3.7e-07,6.418e-06
C,8,f_8,1.21e-07,6.22e-07,6.965e-06
C,9,f_9,1.18e-07,6.74e-07,7.415e-06
C,10,f_10,1.18e-07,8.17e-07,6.287e-06
Python,0,f_0,4.768e-07,4.768e-07,2.384e-07
Python,1,f_1,9.537e-07,7.153e-07,2.384e-07
Python,2,f_2,9.537e-07,1.4305e-06,1.4305e-06
Python,3,f_3,1.1921e-06,1.9073e-06,2.3842e-06
Python,4,f_4,9.537e-07,2.1458e-06,2.3842e-06
Python,5,f_5,9.537e-07,2.1458e-06,2.3842e-06
Python,6,f_6,1.1921e-06,2.861e-06,2.6226e-06
Python,7,f_7,9.537e-07,3.0994e-06,2.6226e-06
Python,8,f_8,1.1921e-06,4.53e-06,2.861e-06
Python,9,f_9,9.537e-07,5.4836e-06,2.861e-06
Python,10,f_10,9.537e-07,8.1062e-06,2.861e-06
